1870 1129 2490 70 336 
2060 1830 2497 228 1175 
2060 1773 2498 207 724 
2060 1773 2498 915 476 
1870 1129 2490 70 336 
2060 1773 2498 228 724 
2167 1042 2495 587 336 
2060 1042 2495 587 336 
1697 1042 2495 587 336 
2060 1042 2495 587 336 
2167 1042 2495 587 336 
1697 1042 2495 587 336 
1870 1129 2490 68 336 
752 1130 2490 70 482 
2060 1042 2497 587 336 
2060 1753 2497 228 724 
1870 1129 2490 68 336 
1870 1127 2490 623 24 
1870 1127 2490 623 24 
2060 1035 2211 586 96 
752 1130 2490 70 482 
2238 1019 2497 590 210 
2060 416 1296 915 472 
2060 1043 1632 588 724 
2060 1036 1810 587 12 
2060 1829 2497 228 723 
2060 1773 2498 208 724 
2060 1043 1632 588 724 
1870 1127 2490 70 1517 
2060 1044 2497 589 724 
2060 1040 1544 1680 457 
2060 1773 2498 915 243 
2060 1043 1769 10 457 
2238 1019 2497 590 210 
2060 1042 2498 587 38 
2060 1036 1810 587 12 
752 1130 2490 70 336 
1382 1313 2498 589 765 
2060 1042 2497 587 336 
2060 1753 2074 236 724 
2060 1036 1810 2152 457 
2060 1773 2498 228 724 
2060 1773 2498 915 476 
1870 1373 2490 70 336 
2060 1829 2497 228 723 
2060 1044 2489 589 724 
2060 1043 1810 587 457 
2060 1042 2497 587 266 
1183 1105 2490 70 336 
2060 1829 2497 228 329 
1382 1313 2498 589 765 
2060 1043 1805 213 457 
2060 1035 2211 586 96 
2060 2198 1544 1680 457 
2238 1019 2498 590 210 
2060 666 1544 713 324 
2060 1042 2497 136 266 
752 953 2490 70 336 
2060 1043 1805 213 457 
2060 1086 2498 437 724 
1183 953 2490 70 336 
2060 1036 1810 588 12 
2060 1043 1810 1550 457 
2060 1043 1769 10 457 
2060 1773 2498 208 724 
2060 1760 1581 588 96 
2060 1044 2489 589 724 
2060 1773 2498 207 724 
2060 1042 2498 587 38 
2060 1036 1810 588 12 
2060 416 1296 915 472 
1964 1130 2490 70 336 
2060 1035 1581 588 96 
2060 1043 1810 1550 457 
1870 1130 2490 70 1048 
2060 1040 1764 589 724 
2060 666 1544 1680 410 
2060 1043 1769 9 457 
838 953 2490 70 336 
2060 1042 2496 588 266 
2060 1043 1769 9 457 
1870 1373 2490 70 336 
1964 1130 2490 70 2333 
1870 1373 2490 70 686 
2060 1042 1544 1252 457 
2060 1040 2462 589 724 
2238 1019 2498 590 210 
2028 1129 2490 68 336 
1964 1130 2490 70 336 
2060 1042 2497 588 266 
2060 1042 2497 588 266 
2060 1753 2074 236 724 
752 953 2490 70 336 
838 953 2490 70 336 
1964 1130 2490 70 2333 
2060 1044 2497 589 724 
2060 1035 1581 588 96 
2060 1830 2497 228 1175 
2060 1040 1544 1680 457 
1870 1373 2490 70 686 
