1350 1806 2011 156 716 
1357 2024 1470 165 716 
1350 504 2491 101 716 
1350 2498 2011 156 716 
1350 2498 902 156 716 
674 2345 1453 165 503 
1350 2084 1446 165 1116 
1350 1532 1963 467 716 
1350 2491 2092 156 716 
1348 2491 1464 157 636 
1350 1099 2498 156 716 
1350 2496 2011 165 789 
1605 245 1975 104 716 
1350 533 1963 467 716 
1350 2410 2007 228 716 
1350 1982 2498 156 716 
1286 504 2498 153 716 
1850 966 2080 165 716 
2137 1815 2498 324 716 
1350 2010 428 1882 716 
1350 2150 1524 295 716 
1619 1188 2364 153 672 
1350 504 716 67 716 
1350 866 1984 165 737 
2121 2478 1467 104 716 
1350 2024 1446 165 982 
593 1815 2498 156 716 
1619 1188 2364 153 670 
1350 1984 1838 156 854 
674 2345 1453 1134 1267 
894 2486 1469 156 716 
1350 2496 2011 155 716 
2137 1783 2498 156 716 
1350 2497 1464 122 716 
1350 2410 48 228 716 
1357 2024 1469 165 716 
1357 2024 1470 165 868 
1350 2164 1446 288 716 
1350 2478 2076 156 716 
1350 504 2476 101 716 
1293 2101 1912 135 716 
121 504 2260 84 716 
1350 2024 1468 165 716 
1350 2492 1188 156 716 
1350 2010 428 153 716 
1850 946 2080 165 716 
1350 609 2496 130 755 
1357 2024 1468 165 1132 
1350 2491 528 156 716 
1350 2362 1476 165 2064 
1350 1954 2496 157 755 
1619 1056 2364 117 1005 
1350 2478 1459 120 716 
1139 2345 1508 144 540 
1350 504 2064 224 716 
1601 1039 2498 156 716 
1350 1838 2498 156 716 
1350 2478 2150 118 716 
1350 951 440 224 716 
1350 2102 224 216 716 
1350 2338 1446 166 624 
1357 2024 1468 165 716 
1350 2478 2011 156 716 
1286 504 2380 119 716 
1619 1293 2364 117 1005 
1350 504 440 224 716 
1350 321 2498 120 716 
1350 2362 1476 165 1065 
1363 2024 1496 165 716 
1350 2479 1459 120 716 
828 2024 1496 165 1907 
1841 1188 2364 138 593 
1331 2478 1467 104 716 
1350 1201 1963 467 716 
1350 2478 1983 156 716 
1350 504 52 224 716 
1592 745 2478 131 716 
1350 2491 1464 157 716 
1350 1021 2498 153 716 
1350 245 1975 113 716 
1350 2478 1467 104 716 
1350 2348 645 228 716 
1350 2150 1500 295 716 
1350 504 440 85 716 
674 2345 1508 165 503 
1350 464 2008 156 716 
1357 2024 1468 165 1075 
1350 2106 1722 224 716 
1350 2338 947 272 716 
1350 2478 1838 156 716 
1350 2338 947 272 716 
1841 1188 2364 138 1005 
1357 2024 1468 165 1075 
674 2345 1453 165 1267 
1363 2024 1468 165 1132 
1350 2478 1982 156 716 
1350 2043 1446 288 716 
1350 1902 2498 272 621 
1350 1984 1838 156 716 
1605 1841 1975 104 716 
